task,policy,success_rate,n_episodes,embodiment,metric,snapshot_date
Pick-v1.5,pi05_droid,18.05,180,DROID,oracle,2026-09-05
Pick-v2-classic,pi05_droid,6.38,63,DROID,oracle,2026-09-05
Pick-v2-filament,pi05_droid,7.01,69,DROID,oracle,2026-09-05
Pick-v2-RandCam,pi05_droid,7.96,64,DROID,oracle,2026-09-05
PnP-v2,pi05_droid,8.13,44,DROID,oracle,2026-09-05
PnP-NextTo-v2,pi05_droid,7.45,24,DROID,oracle,2026-09-05
PnP-Color-v2,pi05_droid,6.66,64,DROID,oracle,2026-09-05
Open-v1,pi05_droid,22.7,227,DROID,oracle,2026-09-05
Close-v1,pi05_droid,65.14,596,DROID,oracle,2026-09-05
Open-v1,pi0_droid,11.0,110,DROID,oracle,2026-09-05
Close-v1,pi0_droid,53.11,486,DROID,oracle,2026-09-05
Pick-v1.5,tiptop,57.9,579,DROID,oracle,2026-09-05
Pick-v2-classic,tiptop,40.9,409,DROID,oracle,2026-09-05
Pick-v2-filament,tiptop,37.3,373,DROID,oracle,2026-09-05
Pick-v2-RandCam,tiptop,37.4,374,DROID,oracle,2026-09-05
PnP-v2,tiptop,24.7,247,DROID,oracle,2026-09-05
PnP-NextTo-v2,tiptop,28.7,287,DROID,oracle,2026-09-05
PnP-Color-v2,tiptop,24.9,249,DROID,oracle,2026-09-05
Open-v1,dreamzero,24.85,246,DROID,oracle,2026-09-05
Close-v1,dreamzero,60.33,552,DROID,oracle,2026-09-05
MolmoBot Combined,pi05_droid,11.04,508,DROID,oracle,2026-09-05
MolmoBot Combined,tiptop,39.19,2518,DROID,oracle,2026-09-05
